ID,Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division,Property Link
rmh.com21046889,1900000000.0,Pondok Labu,4,3,72 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-labu-jakarta-selatan-oleh-atika-sari-21046889
rmh.com21121737,2500000000.0,Pondok Pinang,3,3,110 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-pinang-jakarta-selatan-oleh-ponco-21121737
rmh.com21165745,8300000000.0,Lebak Bulus,10,10,425 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-lebak-bulus-jakarta-selatan-oleh-nunik-indah-sulistiyani-21165745
rmh.com20864875,30000000000.0,Pondok Indah,6,5,482 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-erik-ocasa-20864875
rmh.com21314727,12500000000.0,Cilandak,4,3,300 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-cilandak-barat-jakarta-selatan-oleh-erik-ocasa-21314727
rmh.com21294351,2750000000.0,Pasar Minggu,4,3,120 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pejaten-barat-jakarta-selatan-oleh-ricky-wijaya-21294351
rmh.com19498187,5700000000.0,Kebayoran Baru,5,5,300 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-kebayoran-baru-jakarta-selatan-oleh-widi-ispiono-19498187
rmh.com18953602,35000000000.0,Radio Dalam,10,10,1500 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-radio-dalam-jakarta-selatan-oleh-cinde-winsuno-18953602
rmh.com20094130,18000000000.0,Kebayoran Baru,7,6,300 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-kebayoran-baru-jakarta-selatan-oleh-poppy-dewanti-20094130
rmh.com21313712,2472000000.0,Jagakarsa,4,4,180 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-greenleaf-jagakarsa-jakarta-selatan-oleh-ricky-wijaya-21313712
rmh.com20940298,11500000000.0,Permata Hijau,7,4,700 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-permata-hijau-jakarta-selatan-oleh-atika-sari-20940298
